wsid,wsnm,inme,mdct
307,SÃO MATEUS,A616,26/10/2006 6:00
307,SÃO MATEUS,A616,26/10/2006 7:00
307,SÃO MATEUS,A616,26/10/2006 8:00
307,SÃO MATEUS,A616,26/10/2006 9:00
307,SÃO MATEUS,A616,26/10/2006 10:00
307,SÃO MATEUS,A616,26/10/2006 11:00
307,SÃO MATEUS,A616,26/10/2006 12:00
307,SÃO MATEUS,A616,26/10/2006 13:00
307,SÃO MATEUS,A616,26/10/2006 14:00
307,SÃO MATEUS,A616,26/10/2006 15:00
307,SÃO MATEUS,A616,26/10/2006 16:00
307,SÃO MATEUS,A616,26/10/2006 17:00
307,SÃO MATEUS,A616,26/10/2006 18:00
307,SÃO MATEUS,A616,26/10/2006 19:00
307,SÃO MATEUS,A616,26/10/2006 20:00
307,SÃO MATEUS,A616,26/10/2006 21:00
