wsid,mdct,date,yr,mo,da,hr
304,12/08/2007 5:00,12/08/2007,2007,8,12,5
304,12/08/2007 6:00,12/08/2007,2007,8,12,6
304,12/08/2007 7:00,12/08/2007,2007,8,12,7
304,12/08/2007 8:00,12/08/2007,2007,8,12,8
304,12/08/2007 9:00,12/08/2007,2007,8,12,9
304,12/08/2007 10:00,12/08/2007,2007,8,12,10
304,12/08/2007 11:00,12/08/2007,2007,8,12,11
304,12/08/2007 12:00,12/08/2007,2007,8,12,12
304,12/08/2007 13:00,12/08/2007,2007,8,12,13
304,12/08/2007 14:00,12/08/2007,2007,8,12,14
304,12/08/2007 15:00,12/08/2007,2007,8,12,15
304,12/08/2007 16:00,12/08/2007,2007,8,12,16
304,12/08/2007 17:00,12/08/2007,2007,8,12,17
304,12/08/2007 18:00,12/08/2007,2007,8,12,18
304,12/08/2007 19:00,12/08/2007,2007,8,12,19
304,12/08/2007 20:00,12/08/2007,2007,8,12,20
304,12/08/2007 21:00,12/08/2007,2007,8,12,21
304,12/08/2007 22:00,12/08/2007,2007,8,12,22
304,12/08/2007 23:00,12/08/2007,2007,8,12,23
304,13/08/2007 0:00,13/08/2007,2007,8,13,0
304,13/08/2007 1:00,13/08/2007,2007,8,13,1
304,13/08/2007 2:00,13/08/2007,2007,8,13,2
304,13/08/2007 3:00,13/08/2007,2007,8,13,3
304,13/08/2007 4:00,13/08/2007,2007,8,13,4
305,27/10/2006 0:00,27/10/2006,2006,10,27,0
305,27/10/2006 1:00,27/10/2006,2006,10,27,1
305,27/10/2006 2:00,27/10/2006,2006,10,27,2
305,27/10/2006 3:00,27/10/2006,2006,10,27,3
305,27/10/2006 4:00,27/10/2006,2006,10,27,4
305,27/10/2006 5:00,27/10/2006,2006,10,27,5
305,27/10/2006 6:00,27/10/2006,2006,10,27,6
305,27/10/2006 7:00,27/10/2006,2006,10,27,7
305,27/10/2006 8:00,27/10/2006,2006,10,27,8
305,27/10/2006 9:00,27/10/2006,2006,10,27,9
305,27/10/2006 10:00,27/10/2006,2006,10,27,10
305,27/10/2006 11:00,27/10/2006,2006,10,27,11
305,27/10/2006 12:00,27/10/2006,2006,10,27,12
305,27/10/2006 13:00,27/10/2006,2006,10,27,13
305,27/10/2006 14:00,27/10/2006,2006,10,27,14
305,27/10/2006 15:00,27/10/2006,2006,10,27,15
305,27/10/2006 16:00,27/10/2006,2006,10,27,16
305,27/10/2006 17:00,27/10/2006,2006,10,27,17
305,27/10/2006 18:00,27/10/2006,2006,10,27,18
305,27/10/2006 19:00,27/10/2006,2006,10,27,19
305,27/10/2006 20:00,27/10/2006,2006,10,27,20
305,27/10/2006 21:00,27/10/2006,2006,10,27,21
305,27/10/2006 22:00,27/10/2006,2006,10,27,22
305,27/10/2006 23:00,27/10/2006,2006,10,27,23
305,28/10/2006 0:00,28/10/2006,2006,10,28,0
305,28/10/2006 1:00,28/10/2006,2006,10,28,1
305,28/10/2006 2:00,28/10/2006,2006,10,28,2
305,28/10/2006 3:00,28/10/2006,2006,10,28,3
305,28/10/2006 4:00,28/10/2006,2006,10,28,4
305,28/10/2006 5:00,28/10/2006,2006,10,28,5
305,28/10/2006 6:00,28/10/2006,2006,10,28,6
305,28/10/2006 7:00,28/10/2006,2006,10,28,7
305,28/10/2006 8:00,28/10/2006,2006,10,28,8
305,28/10/2006 9:00,28/10/2006,2006,10,28,9
305,28/10/2006 10:00,28/10/2006,2006,10,28,10
305,28/10/2006 11:00,28/10/2006,2006,10,28,11
305,28/10/2006 12:00,28/10/2006,2006,10,28,12
305,28/10/2006 13:00,28/10/2006,2006,10,28,13
305,28/10/2006 14:00,28/10/2006,2006,10,28,14
305,28/10/2006 15:00,28/10/2006,2006,10,28,15
305,28/10/2006 16:00,28/10/2006,2006,10,28,16
305,28/10/2006 17:00,28/10/2006,2006,10,28,17
305,28/10/2006 18:00,28/10/2006,2006,10,28,18
305,28/10/2006 19:00,28/10/2006,2006,10,28,19
305,28/10/2006 20:00,28/10/2006,2006,10,28,20
305,28/10/2006 21:00,28/10/2006,2006,10,28,21
305,28/10/2006 22:00,28/10/2006,2006,10,28,22
305,28/10/2006 23:00,28/10/2006,2006,10,28,23
305,29/10/2006 0:00,29/10/2006,2006,10,29,0
305,29/10/2006 1:00,29/10/2006,2006,10,29,1
305,29/10/2006 2:00,29/10/2006,2006,10,29,2
305,29/10/2006 3:00,29/10/2006,2006,10,29,3
305,29/10/2006 4:00,29/10/2006,2006,10,29,4
305,29/10/2006 5:00,29/10/2006,2006,10,29,5
305,29/10/2006 6:00,29/10/2006,2006,10,29,6
305,29/10/2006 7:00,29/10/2006,2006,10,29,7
305,29/10/2006 8:00,29/10/2006,2006,10,29,8
305,29/10/2006 9:00,29/10/2006,2006,10,29,9
305,29/10/2006 10:00,29/10/2006,2006,10,29,10
305,29/10/2006 11:00,29/10/2006,2006,10,29,11
305,29/10/2006 12:00,29/10/2006,2006,10,29,12
305,29/10/2006 13:00,29/10/2006,2006,10,29,13
305,29/10/2006 14:00,29/10/2006,2006,10,29,14
305,29/10/2006 15:00,29/10/2006,2006,10,29,15
305,29/10/2006 16:00,29/10/2006,2006,10,29,16
305,29/10/2006 17:00,29/10/2006,2006,10,29,17
305,29/10/2006 18:00,29/10/2006,2006,10,29,18
305,29/10/2006 19:00,29/10/2006,2006,10,29,19
305,29/10/2006 20:00,29/10/2006,2006,10,29,20
305,29/10/2006 21:00,29/10/2006,2006,10,29,21
305,29/10/2006 22:00,29/10/2006,2006,10,29,22
305,29/10/2006 23:00,29/10/2006,2006,10,29,23
305,30/10/2006 0:00,30/10/2006,2006,10,30,0
305,30/10/2006 1:00,30/10/2006,2006,10,30,1
305,30/10/2006 2:00,30/10/2006,2006,10,30,2
305,30/10/2006 3:00,30/10/2006,2006,10,30,3
305,30/10/2006 4:00,30/10/2006,2006,10,30,4
305,30/10/2006 5:00,30/10/2006,2006,10,30,5
305,30/10/2006 6:00,30/10/2006,2006,10,30,6
305,30/10/2006 7:00,30/10/2006,2006,10,30,7
305,30/10/2006 8:00,30/10/2006,2006,10,30,8
305,30/10/2006 9:00,30/10/2006,2006,10,30,9
305,30/10/2006 10:00,30/10/2006,2006,10,30,10
305,30/10/2006 11:00,30/10/2006,2006,10,30,11
305,30/10/2006 12:00,30/10/2006,2006,10,30,12
305,30/10/2006 13:00,30/10/2006,2006,10,30,13
305,30/10/2006 14:00,30/10/2006,2006,10,30,14
305,30/10/2006 15:00,30/10/2006,2006,10,30,15
305,30/10/2006 16:00,30/10/2006,2006,10,30,16
305,30/10/2006 17:00,30/10/2006,2006,10,30,17
305,30/10/2006 18:00,30/10/2006,2006,10,30,18
305,30/10/2006 19:00,30/10/2006,2006,10,30,19
305,30/10/2006 20:00,30/10/2006,2006,10,30,20
305,30/10/2006 21:00,30/10/2006,2006,10,30,21
305,30/10/2006 22:00,30/10/2006,2006,10,30,22
305,30/10/2006 23:00,30/10/2006,2006,10,30,23
305,31/10/2006 0:00,31/10/2006,2006,10,31,0
305,31/10/2006 1:00,31/10/2006,2006,10,31,1
305,31/10/2006 2:00,31/10/2006,2006,10,31,2
305,31/10/2006 3:00,31/10/2006,2006,10,31,3
305,31/10/2006 4:00,31/10/2006,2006,10,31,4
306,03/11/2006 0:00,03/11/2006,2006,11,3,0
306,03/11/2006 1:00,03/11/2006,2006,11,3,1
306,03/11/2006 2:00,03/11/2006,2006,11,3,2
306,03/11/2006 3:00,03/11/2006,2006,11,3,3
306,03/11/2006 4:00,03/11/2006,2006,11,3,4
306,03/11/2006 5:00,03/11/2006,2006,11,3,5
306,03/11/2006 6:00,03/11/2006,2006,11,3,6
306,03/11/2006 7:00,03/11/2006,2006,11,3,7
306,03/11/2006 8:00,03/11/2006,2006,11,3,8
306,03/11/2006 9:00,03/11/2006,2006,11,3,9
306,03/11/2006 10:00,03/11/2006,2006,11,3,10
306,03/11/2006 11:00,03/11/2006,2006,11,3,11
306,03/11/2006 12:00,03/11/2006,2006,11,3,12
306,03/11/2006 13:00,03/11/2006,2006,11,3,13
306,03/11/2006 14:00,03/11/2006,2006,11,3,14
306,03/11/2006 15:00,03/11/2006,2006,11,3,15
306,03/11/2006 16:00,03/11/2006,2006,11,3,16
306,03/11/2006 17:00,03/11/2006,2006,11,3,17
306,03/11/2006 18:00,03/11/2006,2006,11,3,18
306,03/11/2006 19:00,03/11/2006,2006,11,3,19
306,03/11/2006 20:00,03/11/2006,2006,11,3,20
306,03/11/2006 21:00,03/11/2006,2006,11,3,21
306,03/11/2006 22:00,03/11/2006,2006,11,3,22
306,03/11/2006 23:00,03/11/2006,2006,11,3,23
306,04/11/2006 0:00,04/11/2006,2006,11,4,0
306,04/11/2006 1:00,04/11/2006,2006,11,4,1
306,04/11/2006 2:00,04/11/2006,2006,11,4,2
306,04/11/2006 3:00,04/11/2006,2006,11,4,3
306,04/11/2006 4:00,04/11/2006,2006,11,4,4
306,04/11/2006 5:00,04/11/2006,2006,11,4,5
306,04/11/2006 6:00,04/11/2006,2006,11,4,6
306,04/11/2006 7:00,04/11/2006,2006,11,4,7
306,04/11/2006 8:00,04/11/2006,2006,11,4,8
306,04/11/2006 9:00,04/11/2006,2006,11,4,9
306,04/11/2006 10:00,04/11/2006,2006,11,4,10
306,04/11/2006 11:00,04/11/2006,2006,11,4,11
306,04/11/2006 12:00,04/11/2006,2006,11,4,12
306,04/11/2006 13:00,04/11/2006,2006,11,4,13
306,04/11/2006 14:00,04/11/2006,2006,11,4,14
306,04/11/2006 15:00,04/11/2006,2006,11,4,15
306,04/11/2006 16:00,04/11/2006,2006,11,4,16
306,04/11/2006 17:00,04/11/2006,2006,11,4,17
306,04/11/2006 18:00,04/11/2006,2006,11,4,18
306,04/11/2006 19:00,04/11/2006,2006,11,4,19
306,04/11/2006 20:00,04/11/2006,2006,11,4,20
306,04/11/2006 21:00,04/11/2006,2006,11,4,21
