wsid,mdct,wdsp,wdct,gust
306,04/11/2006 3:00,2.1,8,3.4
306,04/11/2006 4:00,1.5,36,3.1
306,04/11/2006 5:00,0.8,32,2.1
306,04/11/2006 6:00,0.5,114,1.9
306,04/11/2006 7:00,1.2,43,2.1
306,04/11/2006 8:00,1,69,2
306,04/11/2006 9:00,1.6,24,2.4
306,04/11/2006 10:00,0.6,12,2.4
306,04/11/2006 11:00,1.4,169,5.1
306,04/11/2006 12:00,1.3,158,6.8
306,04/11/2006 13:00,1.7,205,6.7
306,04/11/2006 14:00,2.6,198,5.4
306,04/11/2006 15:00,2.9,181,6
306,04/11/2006 16:00,2.7,199,7
306,04/11/2006 17:00,2.6,176,5.2
306,04/11/2006 18:00,2.5,183,7.9
306,04/11/2006 19:00,3.8,177,7.2
306,04/11/2006 20:00,2.8,190,8.5
306,04/11/2006 21:00,4.5,183,7.9
306,04/11/2006 22:00,2.1,188,7.9
306,04/11/2006 23:00,0.3,202,4.5
306,05/11/2006 0:00,1.1,32,1.6
306,05/11/2006 1:00,0.9,291,2.3
306,05/11/2006 2:00,0.6,192,3.1
306,05/11/2006 3:00,0.5,360,2.5
306,05/11/2006 4:00,0.4,66,1.7
306,05/11/2006 5:00,0,0,0
306,05/11/2006 6:00,0.2,15,1.7
306,05/11/2006 7:00,1.4,280,4.1
306,05/11/2006 8:00,1.7,8,4
306,05/11/2006 9:00,0.7,71,3.2
306,05/11/2006 10:00,0.7,23,2.7
306,05/11/2006 11:00,1.9,127,2.9
306,05/11/2006 12:00,1.5,357,2.7
306,05/11/2006 13:00,0.9,60,4.8
306,05/11/2006 14:00,1.9,177,3.9
306,05/11/2006 15:00,4.1,173,7.8
306,05/11/2006 16:00,1.3,299,6.9
306,05/11/2006 17:00,0.8,237,4.1
306,05/11/2006 18:00,0.6,360,2.2
306,05/11/2006 19:00,0.7,73,3.2
306,05/11/2006 20:00,0.5,351,2.1
306,05/11/2006 21:00,1.3,341,2.5
306,05/11/2006 22:00,1.6,309,3.2
306,05/11/2006 23:00,1.5,6,3.2
306,06/11/2006 0:00,0.9,329,2.6
306,06/11/2006 1:00,1.7,346,4
306,06/11/2006 2:00,0.7,20,2.8
306,06/11/2006 3:00,2.2,23,4.5
306,06/11/2006 4:00,1.8,6,3.8
306,06/11/2006 5:00,1.4,9,3
306,06/11/2006 6:00,1.4,338,3.9
306,06/11/2006 7:00,2.1,5,3.2
306,06/11/2006 8:00,2.1,347,4.4
306,06/11/2006 9:00,1.8,17,3.9
306,06/11/2006 10:00,1.5,4,2.8
306,06/11/2006 11:00,1.1,194,2.3
306,06/11/2006 12:00,1.4,111,3.4
306,06/11/2006 13:00,1.1,168,3.5
306,06/11/2006 14:00,1.6,148,3.7
306,06/11/2006 15:00,1.6,161,4.1
306,06/11/2006 16:00,2.4,219,3.9
