wsid,mdct,prcp,hmdy,hmax,hmin
306,03/11/2006 9:00,,93,95,93
306,03/11/2006 10:00,,93,94,92
306,03/11/2006 11:00,0.2,89,94,88
306,03/11/2006 12:00,,83,90,82
306,03/11/2006 13:00,1,74,84,74
306,03/11/2006 14:00,,77,78,72
306,03/11/2006 15:00,,68,77,68
306,03/11/2006 16:00,,67,72,66
306,03/11/2006 17:00,,72,74,66
306,03/11/2006 18:00,2,78,78,71
306,03/11/2006 19:00,8.8,94,95,78
306,03/11/2006 20:00,0.4,96,96,93
306,03/11/2006 21:00,0.2,96,96,94
306,03/11/2006 22:00,,94,96,91
306,03/11/2006 23:00,,87,94,87
306,04/11/2006 0:00,2.6,95,95,87
306,04/11/2006 1:00,5,96,96,92
306,04/11/2006 2:00,3.6,96,96,95
306,04/11/2006 3:00,0.4,95,96,95
306,04/11/2006 4:00,,95,96,95
306,04/11/2006 5:00,,96,96,95
306,04/11/2006 6:00,,95,96,94
306,04/11/2006 7:00,,94,96,92
306,04/11/2006 8:00,,96,96,93
306,04/11/2006 9:00,,94,96,94
306,04/11/2006 10:00,,91,95,91
306,04/11/2006 11:00,1.4,92,94,91
306,04/11/2006 12:00,,87,93,86
306,04/11/2006 13:00,,87,89,85
306,04/11/2006 14:00,,85,87,83
306,04/11/2006 15:00,,81,85,78
306,04/11/2006 16:00,,82,85,78
306,04/11/2006 17:00,,81,84,79
306,04/11/2006 18:00,,78,80,76
306,04/11/2006 19:00,,75,78,73
306,04/11/2006 20:00,,80,80,74
306,04/11/2006 21:00,,83,85,80
306,04/11/2006 22:00,,84,84,83
306,04/11/2006 23:00,,87,87,83
306,05/11/2006 0:00,,92,93,86
306,05/11/2006 1:00,0.6,93,95,92
306,05/11/2006 2:00,,94,96,90
306,05/11/2006 3:00,,96,96,92
306,05/11/2006 4:00,1,97,97,94
306,05/11/2006 5:00,0,0,0,0
306,05/11/2006 6:00,0.6,97,97,96
306,05/11/2006 7:00,0.4,91,97,90
306,05/11/2006 8:00,,94,95,91
306,05/11/2006 9:00,,94,95,90
306,05/11/2006 10:00,0.2,93,95,90
306,05/11/2006 11:00,,88,94,87
306,05/11/2006 12:00,,85,90,83
306,05/11/2006 13:00,,74,92,73
306,05/11/2006 14:00,,68,74,65
306,05/11/2006 15:00,,88,88,67
306,05/11/2006 16:00,,86,92,86
306,05/11/2006 17:00,0.4,84,91,82
306,05/11/2006 18:00,,76,85,76
306,05/11/2006 19:00,,85,88,76
306,05/11/2006 20:00,,88,93,85
306,05/11/2006 21:00,0.2,92,94,88
306,05/11/2006 22:00,,88,93,88
306,05/11/2006 23:00,,88,92,87
306,06/11/2006 0:00,0.2,91,94,87
306,06/11/2006 1:00,,94,95,91
306,06/11/2006 2:00,,95,95,91
306,06/11/2006 3:00,0.6,95,95,92
306,06/11/2006 4:00,,95,96,94
306,06/11/2006 5:00,0.4,94,95,91
306,06/11/2006 6:00,0.2,93,94,93
306,06/11/2006 7:00,,95,96,93
306,06/11/2006 8:00,,90,95,89
306,06/11/2006 9:00,,93,94,88
306,06/11/2006 10:00,,89,95,89
306,06/11/2006 11:00,,81,90,80
306,06/11/2006 12:00,,79,82,76
306,06/11/2006 13:00,,72,82,71
306,06/11/2006 14:00,,71,76,67
306,06/11/2006 15:00,,75,76,70
306,06/11/2006 16:00,,76,78,73
306,06/11/2006 17:00,,73,79,73
306,06/11/2006 18:00,,76,78,73
306,06/11/2006 19:00,,79,80,76
306,06/11/2006 20:00,,80,81,79
306,06/11/2006 21:00,,83,84,80
306,06/11/2006 22:00,,89,89,83
306,06/11/2006 23:00,,90,90,89
306,07/11/2006 0:00,,89,90,89
306,07/11/2006 1:00,,93,93,89
306,07/11/2006 2:00,,93,93,92
306,07/11/2006 3:00,,93,95,92
306,07/11/2006 4:00,,94,94,91
307,25/10/2006 0:00,0,0,0,0
307,25/10/2006 1:00,0,0,0,0
307,25/10/2006 2:00,0,0,0,0
307,25/10/2006 3:00,0,0,0,0
307,25/10/2006 4:00,0,0,0,0
307,25/10/2006 5:00,0,0,0,0
307,25/10/2006 6:00,0,0,0,0
307,25/10/2006 7:00,0,0,0,0
307,25/10/2006 8:00,0,0,0,0
307,25/10/2006 9:00,0,0,0,0
307,25/10/2006 10:00,0,0,0,0
307,25/10/2006 11:00,0,0,0,0
307,25/10/2006 12:00,0,0,0,0
307,25/10/2006 13:00,0,0,0,0
307,25/10/2006 14:00,0,0,0,0
307,25/10/2006 15:00,,85,87,76
307,25/10/2006 16:00,,75,88,74
307,25/10/2006 17:00,0.4,73,77,70
307,25/10/2006 18:00,,79,79,73
307,25/10/2006 19:00,,83,87,78
307,25/10/2006 20:00,,86,87,82
307,25/10/2006 21:00,,86,88,83
307,25/10/2006 22:00,,91,91,86
307,25/10/2006 23:00,,92,92,89
307,26/10/2006 0:00,,95,96,91
307,26/10/2006 1:00,,95,96,95
307,26/10/2006 2:00,,95,96,95
307,26/10/2006 3:00,,95,96,95
307,26/10/2006 4:00,,96,96,94
307,26/10/2006 5:00,,97,97,96
307,26/10/2006 6:00,,98,98,97
307,26/10/2006 7:00,,98,98,98
307,26/10/2006 8:00,,98,99,98
307,26/10/2006 9:00,,98,99,98
307,26/10/2006 10:00,,88,98,87
307,26/10/2006 11:00,,77,88,76
307,26/10/2006 12:00,,67,78,63
307,26/10/2006 13:00,,58,67,55
307,26/10/2006 14:00,,55,60,53
307,26/10/2006 15:00,,54,58,51
307,26/10/2006 16:00,,66,69,53
307,26/10/2006 17:00,,64,67,62
307,26/10/2006 18:00,,66,67,61
307,26/10/2006 19:00,,68,68,65
307,26/10/2006 20:00,,74,74,67
307,26/10/2006 21:00,,82,82,74
307,26/10/2006 22:00,,86,86,82
307,26/10/2006 23:00,,86,86,85
307,27/10/2006 0:00,,88,88,86
307,27/10/2006 1:00,,92,92,88
307,27/10/2006 2:00,,92,93,91
307,27/10/2006 3:00,,94,94,91
307,27/10/2006 4:00,,96,96,94
307,27/10/2006 5:00,,96,96,96
307,27/10/2006 6:00,,96,97,96
307,27/10/2006 7:00,,94,96,93
307,27/10/2006 8:00,,93,94,92
307,27/10/2006 9:00,,93,95,93
307,27/10/2006 10:00,,85,93,84
307,27/10/2006 11:00,,75,85,74
307,27/10/2006 12:00,,64,76,64
307,27/10/2006 13:00,,57,66,56
307,27/10/2006 14:00,,53,59,51
307,27/10/2006 15:00,,49,55,48
307,27/10/2006 16:00,,58,59,45
307,27/10/2006 17:00,,67,67,58
307,27/10/2006 18:00,,67,67,63
307,27/10/2006 19:00,,71,72,66
307,27/10/2006 20:00,,76,77,70
307,27/10/2006 21:00,,82,82,76
307,27/10/2006 22:00,,81,82,81
307,27/10/2006 23:00,,82,82,80
307,28/10/2006 0:00,,85,85,81
307,28/10/2006 1:00,,89,90,84
307,28/10/2006 2:00,,92,92,89
307,28/10/2006 3:00,,92,93,92
307,28/10/2006 4:00,,93,93,91
307,28/10/2006 5:00,,91,93,91
307,28/10/2006 6:00,,92,92,91
307,28/10/2006 7:00,,92,93,91
307,28/10/2006 8:00,,90,92,90
307,28/10/2006 9:00,,89,90,89
307,28/10/2006 10:00,0.4,91,92,87
307,28/10/2006 11:00,,90,92,89
307,28/10/2006 12:00,,87,90,86
307,28/10/2006 13:00,,81,87,81
307,28/10/2006 14:00,,76,82,75
307,28/10/2006 15:00,,76,79,75
307,28/10/2006 16:00,,79,80,75
307,28/10/2006 17:00,,79,80,77
307,28/10/2006 18:00,,82,82,78
307,28/10/2006 19:00,,77,82,77
307,28/10/2006 20:00,,76,78,76
307,28/10/2006 21:00,,76,77,76
307,28/10/2006 22:00,,82,82,76
307,28/10/2006 23:00,,77,82,76
307,29/10/2006 0:00,,78,79,77
307,29/10/2006 1:00,,78,79,77
307,29/10/2006 2:00,,80,80,78
307,29/10/2006 3:00,,86,86,80
307,29/10/2006 4:00,,91,91,86
